vote_trump,census_region,state,age,weight_2020,hispan,sex,race,income,education_category,stateicp
1,3,TN,41,0.2612217197645267,0,1,1,1,2,Tennessee
0,2,NE,46,0.5641410089516443,0,1,5,2,2,Nebraska
1,2,OH,55,1.259789537199114,0,1,1,2,2,Ohio
1,1,CT,54,0.5794706652203798,0,1,1,2,3,Connecticut
0,1,NY,50,0.10463705774654773,0,1,1,1,1,New York
1,3,FL,71,0.7503844989481238,0,1,1,1,2,Florida
0,4,HI,51,1.0879322904895632,0,1,5,3,2,Hawaii
0,1,NJ,68,0.384612948145906,0,1,1,2,3,New Jersey
0,2,IN,80,0.8002393140614931,0,1,1,2,3,Indiana
0,3,TN,44,0.11777013729738287,0,1,1,1,3,Tennessee
0,3,FL,69,0.33080529496574373,0,1,1,2,3,Florida
1,3,AL,61,0.14860289776641614,0,1,1,1,1,Alabama
1,3,TX,64,1.723446897097329,0,1,1,3,2,Texas
1,1,NY,43,0.5484544406046927,0,1,1,2,3,New York
1,4,OR,60,0.6944021212725239,0,1,1,2,1,Oregon
1,2,IL,52,0.49898354165533176,0,1,1,2,2,Illinois
1,3,TX,64,0.6129800000336708,0,1,1,2,3,Texas
0,4,UT,62,0.94645572821445,1,1,5,1,3,Utah
0,2,OH,39,2.993744427758244,0,1,2,4,3,Ohio
1,4,WA,47,2.9052182213932025,0,1,1,3,2,Washington
1,3,NC,50,0.30037274857510526,0,1,1,1,2,North Carolina
0,3,DE,28,0.4027712354881248,0,1,1,1,3,Delaware
1,2,MO,61,0.21177597311322852,0,1,1,1,1,Missouri
1,2,KS,50,0.6610550699170926,0,1,1,2,2,Kansas
0,4,NV,77,0.5451293095073186,0,1,1,1,2,Nevada
0,2,MI,63,0.26358246190685314,0,1,1,1,3,Michigan
1,3,FL,37,1.6299702866385795,0,1,1,2,2,Florida
0,2,NE,58,0.5175235122516432,0,1,1,2,3,Nebraska
1,3,MS,67,0.7643993928594202,0,1,1,2,3,Mississippi
0,4,AZ,52,0.16463072380822769,0,1,1,1,2,Arizona
1,3,KY,56,0.6304859370558703,0,1,1,2,3,Kentucky
0,4,WA,60,0.16400662219357362,0,1,4,1,3,Washington
0,4,CA,66,1.0891236353782816,0,1,1,2,2,California
1,3,FL,27,0.4063599886720596,0,1,1,1,2,Florida
0,2,WI,49,0.22007867235347534,0,1,1,2,3,Wisconsin
1,2,OH,72,1.5460451558586814,0,1,1,2,2,Ohio
0,1,NY,52,2.8004184242183316,0,1,4,2,3,New York
1,1,MA,71,0.4094775403883929,0,1,1,1,2,Massachusetts
0,4,CA,52,0.04262525236656044,1,1,2,1,2,California
1,3,FL,44,0.44756896075515923,0,1,1,1,3,Florida
0,1,NY,51,0.40446165815137275,1,1,5,1,2,New York
0,4,CO,59,0.37899497214883265,0,1,1,2,3,Colorado
0,4,CO,45,0.4399869674503672,0,1,1,2,3,Colorado
0,1,NY,48,0.7511429222553287,0,1,4,2,2,New York
1,3,LA,71,0.586101688271765,0,1,1,1,2,Louisiana
0,1,CT,52,0.13921672469777316,0,1,1,1,3,Connecticut
0,4,CA,58,0.11421665696176214,0,1,4,1,3,California
0,3,GA,53,0.9144970568817308,0,1,1,3,3,Georgia
0,2,OH,41,0.11171669744431838,0,1,1,1,2,Ohio
